srl,field_name,name,block,item,length,byte_start,byte_end,remarks
1,panel,Panel,,,2,1,2,"P3, P4"
2,file_id,File Identification,,,5,3,7,CFVP3
3,sch,Schdule,1,2,3,8,10,104
4,qtr,Quarter,,,2,11,12,"Q7,Q8,Q1,Q2"
5,visit,Visit,,,2,13,14,
6,sec,Sector,1,3,1,15,15,
7,st,State/Ut Code,,,2,16,17,
8,dc,District Code,1,4,2,18,19,
9,nss_reg,NSS-Region,1,4,3,20,22,
10,strm,Stratum,1,5,2,23,24,
11,sstrm,Sub-Stratum,1,6,2,25,26,
12,ss,Sub-Sample,1,11,1,27,27,
13,sro,Fod Sub-Region,1,12,4,28,31,
14,mfsu,FSU,1,1,5,32,36,
15,seg,Sample Sg/Sb No.,1,13,1,37,37,
16,sss,Second Stage Stratum No.,1,14,1,38,38,
17,ssu,Sample Household Number,1,15,2,39,40,
18,srl_no,Person Serial No.,4,1,2,41,42,
19,rel,Relationship To Head,4,4,1,43,43,
20,sex,Sex,4,5,1,44,44,
21,age,Age,4,6,3,45,47,
22,marst,Marital Status,4,7,1,48,48,
23,gedu_lvl,General Educaion Level,4,8,2,49,50,
24,tedu_lvl,Technical Educaion Level,4,9,2,51,52,
25,no_of_years_in_formal_education,No. of years in Formal Education,4,10,2,53,54,
26,curr_att,Status of Current Attendance in Educational Institution,4,11,2,55,56,
27,voc,Whether received any Vocational/Technical Training,4,12,1,57,57,
28,whether_training_completed_during_last_3,Whether Training completed during last 365 Days,4.1,3,1,58,58,
29,vt_field,Field Of Training,4.1,4,2,59,60,
30,vt_dur,Duration Of Training,4.1,5,1,61,61,
31,vt_type,Type Of Training,4.1,6,1,62,62,
32,source_of_funding_the_training,Source Of Funding The Training,4.1,7,1,63,63,
33,pas,Status Code,5.1,3,2,64,65,
34,ind_pas,Industry Code (NIC),5.1,5,5,66,70,
35,ocu_pas,Occupation Code (NCO),5.1,6,3,71,73,
36,has_sas,Whether Engaged In Any Work In Subsidiary Capacity,5.1,7,1,74,74,
37,loc_pas,(Principal)location Of Workplace Code,5.1,8,2,75,76,
38,etyp_pas,(Principal) Enterprise Type Code,5.1,9,2,77,78,
39,wrkr_pas,(Principal) No. Of Workers In The Enterprise,5.1,10,1,79,79,
40,job_pas,(Principal)  Type Of Job Contract,5.1,11,1,80,80,
41,leave_pas,(Principal) Eligble Of Paid Leave,5.1,12,1,81,81,
42,ssec_pas,(Principal) Social Security Benefits,5.1,13,1,82,82,
43,ecoprd_pas,(Principal) Usage of product of the economic activity,5.1,14,1,83,83,
44,sas,Status Code,5.2,3,2,84,85,
45,ind_sas,Industry Code (NIC),5.2,5,5,86,90,
46,ocu_sas,Occupation Code (NCO),5.2,6,3,91,93,
47,loc_sas,(Subsidiary) location Of Workplace Code,5.2,7,2,94,95,
48,etyp_sas,(Subsidiary)  Enterprise Type Code,5.2,8,2,96,97,
49,wrkr_sas,(Subsidiary)  No. Of Workers In The Enterprise,5.2,9,1,98,98,
50,job_sas,(Subsidiary)   Type Of Job Contract,5.2,10,1,99,99,
51,leave_sas,(Subsidiary)  Eligble Of Paid Leave,5.2,11,1,100,100,
52,ssec_sas,(Subsidiary)  Social Security Benefits,5.2,12,1,101,101,
53,subsidiary_usage_of_product_of_the_econo,(Subsidiary) Usage of product of the economic activity,5.2,13,1,102,102,
54,ever_worked_prior_to_last_365_days,Ever Worked Prior to last 365 days,5.3,5,1,103,103,
55,dur_pas,Duration of engagement in the economic activity in usual Principal Activity Status,5.3,6,1,104,104,
56,dur_sas,Duration of engagement in the economic activity in Subsidiary Activity Status,5.3,7,1,105,105,
57,efforts_undertaken_to_search_work,Efforts undertaken to search work,5.3,8,1,106,106,
58,duration_of_spell_of_unemployment,Duration of spell of Unemployment,5.3,9,1,107,107,
59,whether_ever_worked,Whether Ever Worked ,5.3,10,1,108,108,
60,reason_for_not_working_in_last_365_days, Reason for not working in last 365 days,5.3,11,2,109,110,
61,main_reason_for_being_in_principal_activ,Main reason for being in Principal activity status (91 to 97) ,5.3,12,1,111,111,
62,sts11,Status Code for activity 1,6,4/3.1,2,112,113,
63,ind11,Industry Code (NIC) for activity 1,6,5/3.1,2,114,115,
64,hrs11,hours actuallly worked for activity 1 on 7 th day,6,6/3.1,2,116,117,
65,ern11,wage earning for activity 1 on 7 th day,6,9/3.1,5,118,122,
66,sts21,Status Code for activity 2,6,4/3.1,2,123,124,
67,ind21,Industry Code (NIC) for activity 2,6,5/3.1,2,125,126,
68,hrs21,hours actuallly worked for activity 2 on 7 th day,6,6/3.1,2,127,128,
69,ern21,wage earning for activity 2 on 7 th day,6,9/3.1,5,129,133,
70,tot_hrs1,total hours actually worked on 7th day,6,7/3.1,2,134,135,
71,hav1,hours available for aditional worked on 7th day,6,8/3.1,2,136,137,
72,sts12,Status Code for activity 1,6,4/3.2,2,138,139,
73,ind12,Industry Code (NIC) for activity 1,6,5/3.2,2,140,141,
74,hrs12,hours actuallly worked for activity 1 on 6 th day,6,6/3.2,2,142,143,
75,ern12,wage earning for activity 1 on 7 th day,6,9/3.2,5,144,148,
76,sts22,Status Code for activity 2,6,4/3.2,2,149,150,
77,ind22,Industry Code (NIC) for activity 2,6,5/3.2,2,151,152,
78,hrs22,hours actuallly worked for activity 2 on 6 th day,6,6/3.2,2,153,154,
79,ern22,wage earning for activity 2 on 6 th day,6,9/3.2,5,155,159,
80,tot_hrs2,total hours actually worked on 6th day,6,7/3.2,2,160,161,
81,hav2,hours available for aditional worked on 6th day,6,8/3.2,2,162,163,
82,sts13,Status Code for activity 1,6,4/3.3,2,164,165,
83,ind13,Industry Code (NIC) for activity 1,6,5/3.3,2,166,167,
84,hrs13,hours actuallly worked for activity 1 on5 th day,6,6/3.3,2,168,169,
85,ern13,wage earning for activity 1 on 5 th day,6,9/3.3,5,170,174,
86,sts23,Status Code for activity 2,6,4/3.3,2,175,176,
87,ind23,Industry Code (NIC) for activity 2,6,5/3.3,2,177,178,
88,hrs23,hours actuallly worked for activity 2 on 5 th day,6,6/3.3,2,179,180,
89,ern23,wage earning for activity 2 on 5 th day,6,9/3.3,5,181,185,
90,tot_hrs3,total hours actually worked on 5th day,6,7/3.3,2,186,187,
91,hav3,hours available for aditional worked on 5th day,6,8/3.3,2,188,189,
92,sts14,Status Code for activity 1,6,4/3.4,2,190,191,
93,ind14,Industry Code (NIC) for activity 1,6,5/3.4,2,192,193,
94,hrs14,hours actuallly worked for activity 1 on 4th day,6,6/3.4,2,194,195,
95,ern14,wage earning for activity 1 on 4th day,6,9/3.4,5,196,200,
96,sts24,Status Code for activity 2,6,4/3.4,2,201,202,
